datetime,mw,temp_f,feels_like_f,humidity_pct
2018-01-01 00:00:00,40126.081,14.3,4.2,50
2018-01-01 01:00:00,39735.099,13.6,3.7,52
2018-01-01 02:00:00,39515.558000000005,13.0,3.2,53
2018-01-01 03:00:00,39648.28,12.5,3.0,55
2018-01-01 04:00:00,40118.853,11.9,2.7,57
2018-01-01 05:00:00,40986.523,11.4,2.3,60
2018-01-01 06:00:00,41827.95,11.1,1.9,62
2018-01-01 07:00:00,42214.441999999995,11.1,1.9,64
2018-01-01 08:00:00,41946.342,9.4,0.8,73
2018-01-01 09:00:00,41077.319,11.3,2.5,67
2018-01-01 10:00:00,40466.52,15.6,6.6,54
2018-01-01 11:00:00,39870.06,19.0,8.7,44
2018-01-01 12:00:00,39436.115,21.2,10.3,35
2018-01-01 13:00:00,38940.695,22.5,11.2,29
2018-01-01 14:00:00,38756.018,23.3,11.9,27
2018-01-01 15:00:00,39296.193,23.9,12.2,25
2018-01-01 16:00:00,41249.922,23.7,12.0,25
2018-01-01 17:00:00,44427.131,23.1,11.7,27
2018-01-01 18:00:00,45006.896,21.2,11.0,30
2018-01-01 19:00:00,45108.603,19.1,9.5,35
2018-01-01 20:00:00,44827.756,17.8,7.6,41
2018-01-01 21:00:00,43825.365,17.2,5.9,43
2018-01-01 22:00:00,42085.022,15.8,4.2,41
2018-01-01 23:00:00,40583.297999999995,14.4,2.7,42
2018-01-02 00:00:00,39604.331,13.2,1.9,44
2018-01-02 01:00:00,39317.968,12.6,1.6,45
2018-01-02 02:00:00,39507.192,12.1,1.3,45
2018-01-02 03:00:00,39977.629,11.8,1.3,45
2018-01-02 04:00:00,40932.553,11.8,1.2,46
2018-01-02 05:00:00,42992.22,11.5,0.9,47
2018-01-02 06:00:00,45842.269,11.4,0.7,48
2018-01-02 07:00:00,47432.842,11.2,0.6,49
2018-01-02 08:00:00,46733.012,10.9,0.9,51
2018-01-02 09:00:00,45069.252,11.3,1.3,50
2018-01-02 10:00:00,43483.711,13.8,3.0,43
2018-01-02 11:00:00,42059.819,16.6,5.7,38
2018-01-02 12:00:00,40871.354,19.4,8.9,33
2018-01-02 13:00:00,39883.123,22.0,11.9,29
2018-01-02 14:00:00,39273.645,24.4,14.5,26
2018-01-02 15:00:00,39637.542,26.2,16.3,23
2018-01-02 16:00:00,41650.052,27.5,17.8,22
2018-01-02 17:00:00,45196.209,27.5,18.3,22
2018-01-02 18:00:00,46166.771,20.4,11.2,30
2018-01-02 19:00:00,46129.353,19.6,11.1,36
2018-01-02 20:00:00,45829.95,18.3,9.3,45
2018-01-02 21:00:00,44642.692,17.1,8.5,48
2018-01-02 22:00:00,42652.973,17.0,8.2,49
2018-01-02 23:00:00,40900.007,16.4,8.0,53
2018-01-03 00:00:00,39940.307,14.9,6.7,56
2018-01-03 01:00:00,39642.196,13.5,4.8,54
2018-01-03 02:00:00,39804.386,12.6,3.4,49
2018-01-03 03:00:00,40350.137,13.9,5.4,44
2018-01-03 04:00:00,41505.078,14.9,7.3,41
2018-01-03 05:00:00,43697.866,14.2,7.0,43
2018-01-03 06:00:00,46799.855,13.3,6.2,48
2018-01-03 07:00:00,48168.038,11.6,4.2,55
2018-01-03 08:00:00,47046.531,10.0,1.3,64
2018-01-03 09:00:00,44483.102,11.0,3.1,60
2018-01-03 10:00:00,42081.205,17.3,9.5,42
2018-01-03 11:00:00,40532.275,22.6,14.7,34
2018-01-03 12:00:00,39194.061,26.6,18.8,34
2018-01-03 13:00:00,38295.543999999994,29.7,21.9,30
2018-01-03 14:00:00,37824.024,32.6,24.3,26
2018-01-03 15:00:00,38484.712,34.5,25.1,22
2018-01-03 16:00:00,40173.813,34.5,24.7,21
2018-01-03 17:00:00,42743.203,32.2,24.2,23
2018-01-03 18:00:00,43025.920999999995,28.6,20.1,29
2018-01-03 19:00:00,42492.434,26.0,17.2,33
2018-01-03 20:00:00,41594.371,27.3,19.2,35
2018-01-03 21:00:00,40016.893,25.3,17.9,51
2018-01-03 22:00:00,38015.661,26.5,18.6,55
2018-01-03 23:00:00,36322.468,26.3,18.2,58
2018-01-04 00:00:00,35070.195,25.9,17.8,65
2018-01-04 01:00:00,34740.192,25.7,17.1,73
2018-01-04 02:00:00,34754.378,25.4,16.4,76
2018-01-04 03:00:00,35157.323000000004,25.0,15.7,75
2018-01-04 04:00:00,36182.146,24.7,15.1,72
2018-01-04 05:00:00,38092.125,24.7,13.7,67
2018-01-04 06:00:00,40423.335,24.2,12.2,67
2018-01-04 07:00:00,41891.380000000005,23.9,11.3,65
2018-01-04 08:00:00,42578.531,22.6,12.6,69
2018-01-04 09:00:00,43294.261000000006,22.5,11.2,63
2018-01-04 10:00:00,43771.559,22.5,9.8,57
2018-01-04 11:00:00,44009.631,22.3,8.9,58
2018-01-04 12:00:00,43629.555,23.7,9.3,54
2018-01-04 13:00:00,43465.258,25.2,9.6,48
2018-01-04 14:00:00,42602.122,24.8,8.9,46
2018-01-04 15:00:00,42321.917,25.6,10.5,40
2018-01-04 16:00:00,43386.299,25.2,10.3,38
2018-01-04 17:00:00,46299.207,24.7,10.2,36
2018-01-04 18:00:00,46514.709,22.7,9.2,38
2018-01-04 19:00:00,45955.059,21.5,7.6,38
2018-01-04 20:00:00,45657.605,18.7,5.5,43
2018-01-04 21:00:00,44662.106,18.3,4.8,40
2018-01-04 22:00:00,43036.456,17.1,3.5,40
2018-01-04 23:00:00,41705.036,15.7,1.6,41
2018-01-05 00:00:00,40974.532,14.3,-0.1,41
2018-01-05 01:00:00,40740.268,13.2,-0.8,41
2018-01-05 02:00:00,40884.409,12.5,-1.4,40
2018-01-05 03:00:00,41155.362,11.9,-1.7,39
2018-01-05 04:00:00,42140.139,11.6,-1.8,40
2018-01-05 05:00:00,43955.256,11.4,-2.1,41
2018-01-05 06:00:00,46093.207,11.0,-2.3,41
2018-01-05 07:00:00,47543.886,10.8,-2.5,42
2018-01-05 08:00:00,47484.328,11.1,-1.1,44
2018-01-05 09:00:00,46495.691,11.7,-0.3,43
2018-01-05 10:00:00,45521.156,12.9,-0.8,38
2018-01-05 11:00:00,44641.034,14.6,0.7,33
2018-01-05 12:00:00,43839.21,16.3,2.5,28
2018-01-05 13:00:00,43117.76,17.7,3.8,26
2018-01-05 14:00:00,42735.864,18.7,4.8,25
2018-01-05 15:00:00,43277.246,19.1,5.3,24
2018-01-05 16:00:00,45307.422,18.6,4.9,25
2018-01-05 17:00:00,48563.753,17.7,4.3,25
2018-01-05 18:00:00,48847.569,15.8,3.7,27
2018-01-05 19:00:00,48500.537,15.2,3.0,28
2018-01-05 20:00:00,47990.177,13.4,2.6,34
2018-01-05 21:00:00,46968.386,13.5,2.2,34
2018-01-05 22:00:00,45465.121,13.7,1.9,34
2018-01-05 23:00:00,44058.239,13.6,1.4,35
2018-01-06 00:00:00,43178.172999999995,13.1,0.8,37
2018-01-06 01:00:00,42733.768,12.3,0.0,39
2018-01-06 02:00:00,42594.703,11.4,-0.7,40
2018-01-06 03:00:00,42753.433000000005,10.6,-1.3,40
2018-01-06 04:00:00,43313.917,9.7,-2.1,41
2018-01-06 05:00:00,44263.089,9.0,-2.9,40
2018-01-06 06:00:00,45514.306,8.4,-3.2,41
2018-01-06 07:00:00,46474.146,8.1,-3.3,41
2018-01-06 08:00:00,46615.385,7.7,-2.4,44
2018-01-06 09:00:00,45723.771,8.6,-1.9,43
2018-01-06 10:00:00,44847.788,11.3,-0.1,39
2018-01-06 11:00:00,43930.003,13.5,0.7,34
2018-01-06 12:00:00,42977.418,15.4,2.4,30
2018-01-06 13:00:00,42203.149000000005,17.0,3.6,26
2018-01-06 14:00:00,41852.636,17.7,4.2,25
2018-01-06 15:00:00,42362.964,18.0,4.6,24
2018-01-06 16:00:00,44456.276,17.8,4.3,26
2018-01-06 17:00:00,47581.524,16.5,3.5,28
2018-01-06 18:00:00,48345.036,14.5,3.1,32
2018-01-06 19:00:00,48168.539,13.5,2.3,33
2018-01-06 20:00:00,47916.607,12.6,1.4,38
2018-01-06 21:00:00,47149.862,12.4,1.0,38
2018-01-06 22:00:00,45940.109,12.0,0.7,38
2018-01-06 23:00:00,44797.665,11.6,0.3,41
2018-01-07 00:00:00,44068.31,11.0,-0.2,43
2018-01-07 01:00:00,43672.436,10.0,-0.7,46
2018-01-07 02:00:00,43652.956999999995,9.1,-1.2,48
2018-01-07 03:00:00,43837.06,8.2,-1.8,50
2018-01-07 04:00:00,44290.688,7.5,-2.0,51
2018-01-07 05:00:00,45056.364,7.0,-2.2,52
2018-01-07 06:00:00,46002.719,6.3,-2.3,54
2018-01-07 07:00:00,46822.475999999995,5.5,-2.8,56
2018-01-07 08:00:00,46775.916,3.7,-5.5,62
2018-01-07 09:00:00,45473.854,6.4,-2.5,54
2018-01-07 10:00:00,43772.107,10.3,1.8,45
2018-01-07 11:00:00,42429.675,13.7,5.5,40
2018-01-07 12:00:00,41260.87,16.7,8.9,34
2018-01-07 13:00:00,40268.233,19.1,10.5,29
2018-01-07 14:00:00,39844.975,21.0,11.7,26
2018-01-07 15:00:00,40324.867,22.1,12.3,24
2018-01-07 16:00:00,42213.646,22.1,12.0,25
2018-01-07 17:00:00,45478.557,21.7,11.7,29
2018-01-07 18:00:00,46277.413,19.8,10.4,35
2018-01-07 19:00:00,46141.103,18.0,8.9,42
2018-01-07 20:00:00,45696.686,16.6,7.5,50
2018-01-07 21:00:00,44344.32,17.3,7.7,46
2018-01-07 22:00:00,42450.198,17.7,7.5,43
2018-01-07 23:00:00,40861.126,17.5,6.8,42
2018-01-08 00:00:00,39860.75,17.7,6.6,40
2018-01-08 01:00:00,39117.014,17.8,7.1,39
2018-01-08 02:00:00,38935.202999999994,17.9,7.2,40
2018-01-08 03:00:00,39060.328,18.6,7.8,40
2018-01-08 04:00:00,39865.701,19.2,8.6,39
2018-01-08 05:00:00,41615.953,19.4,8.8,40
2018-01-08 06:00:00,44204.282,19.7,8.5,40
2018-01-08 07:00:00,45585.458,20.2,9.3,40
2018-01-08 08:00:00,44768.223,18.0,7.5,48
2018-01-08 09:00:00,43270.354,19.0,8.7,47
2018-01-08 10:00:00,41695.858,23.2,13.2,39
2018-01-08 11:00:00,40525.941,26.8,16.6,32
2018-01-08 12:00:00,39457.9,30.4,19.9,29
2018-01-08 13:00:00,38765.637,34.5,24.0,25
2018-01-08 14:00:00,38590.725,37.8,27.3,24
2018-01-08 15:00:00,38963.395,37.7,28.5,35
2018-01-08 16:00:00,40127.834,35.2,26.6,60
2018-01-08 17:00:00,42087.435,36.0,26.9,59
2018-01-08 18:00:00,41884.513,36.4,26.6,60
2018-01-08 19:00:00,41027.687000000005,36.0,26.8,70
2018-01-08 20:00:00,39754.808,34.9,26.0,89
2018-01-08 21:00:00,37879.176,35.7,27.1,92
2018-01-08 22:00:00,35566.058,35.8,27.7,93
2018-01-08 23:00:00,33464.979,35.8,27.8,94
2018-01-09 00:00:00,32024.443,34.5,27.2,95
2018-01-09 01:00:00,31340.965,32.9,26.4,95
2018-01-09 02:00:00,31177.63,31.4,25.5,96
2018-01-09 03:00:00,31467.724,28.9,22.1,96
2018-01-09 04:00:00,32431.362,29.3,23.1,96
2018-01-09 05:00:00,34509.597,27.0,20.3,97
2018-01-09 06:00:00,37113.229,26.5,19.6,96
2018-01-09 07:00:00,38957.959,27.0,20.3,95
2018-01-09 08:00:00,38468.607,25.3,17.5,96
2018-01-09 09:00:00,36497.501,27.7,21.4,96
2018-01-09 10:00:00,34941.8,34.2,28.4,90
2018-01-09 11:00:00,33788.758,39.9,34.3,80
2018-01-09 12:00:00,32913.574,42.9,36.1,70
2018-01-09 13:00:00,32200.517,44.6,36.9,63
2018-01-09 14:00:00,31699.311,45.5,38.0,57
2018-01-09 15:00:00,32026.58,47.7,39.8,46
2018-01-09 16:00:00,33299.102,47.9,40.0,41
2018-01-09 17:00:00,36062.661,44.5,37.9,47
2018-01-09 18:00:00,37061.684,34.2,26.9,70
2018-01-09 19:00:00,37189.944,32.1,24.9,76
2018-01-09 20:00:00,36849.895,31.5,25.1,79
2018-01-09 21:00:00,35766.714,31.0,25.0,82
2018-01-09 22:00:00,34056.395,30.7,24.5,84
2018-01-09 23:00:00,32665.789,30.6,24.0,84
2018-01-10 00:00:00,31688.956,29.8,23.3,85
2018-01-10 01:00:00,31358.14,28.3,21.9,87
2018-01-10 02:00:00,31367.977,28.7,21.8,86
2018-01-10 03:00:00,31757.362,29.0,21.8,82
2018-01-10 04:00:00,32601.444,28.2,21.4,84
2018-01-10 05:00:00,34771.558000000005,27.8,20.9,84
2018-01-10 06:00:00,37926.329,27.1,20.3,85
2018-01-10 07:00:00,39234.563,26.4,19.5,87
2018-01-10 08:00:00,38285.096000000005,25.7,18.9,87
2018-01-10 09:00:00,36509.901,28.3,21.7,82
2018-01-10 10:00:00,35040.652,31.7,25.7,73
2018-01-10 11:00:00,33916.637,34.1,27.9,66
2018-01-10 12:00:00,33204.29,36.2,29.9,61
2018-01-10 13:00:00,32870.657,39.3,32.5,54
2018-01-10 14:00:00,32944.189,40.8,33.9,51
2018-01-10 15:00:00,33413.025,43.9,36.6,46
2018-01-10 16:00:00,34626.204,44.7,37.4,44
2018-01-10 17:00:00,36896.218,42.9,36.2,48
2018-01-10 18:00:00,37095.552,38.6,31.8,58
2018-01-10 19:00:00,36619.185,36.3,29.7,66
2018-01-10 20:00:00,35850.041,34.9,28.5,79
2018-01-10 21:00:00,34315.746,36.6,31.2,74
2018-01-10 22:00:00,32140.368,36.8,31.4,76
2018-01-10 23:00:00,29978.341999999997,37.1,31.6,78
2018-01-11 00:00:00,28558.784,37.2,31.9,82
2018-01-11 01:00:00,27792.043,34.1,28.6,91
2018-01-11 02:00:00,27439.423,32.4,26.6,93
