date,actual,predicted,error,drift_detected,status
2019-01-01,25386.7,29881.3,4494.6,True,RETRAINED
2019-01-02,29982.7,30051.8,69.1,False,OK
2019-01-03,30222.6,30030.0,192.6,False,OK
2019-01-04,31065.5,30023.6,1042.0,False,OK
2019-01-05,27650.5,30022.5,2371.9,False,OK
2019-01-06,27495.7,30030.6,2535.0,False,OK
2019-01-07,32454.7,30032.3,2422.4,False,OK
2019-01-08,30470.0,30038.3,431.7,False,OK
2019-01-09,30793.5,30046.1,747.4,False,OK
2019-01-10,34893.2,30050.8,4842.4,True,RETRAINED
2019-01-11,35320.8,29893.3,5427.4,True,RETRAINED
2019-01-12,33877.5,29958.5,3919.0,True,RETRAINED
2019-01-13,33898.0,29664.2,4233.8,True,RETRAINED
2019-01-14,35810.3,30065.8,5744.5,True,RETRAINED
2019-01-15,35448.9,30573.3,4875.6,True,RETRAINED
2019-01-16,35059.5,30284.4,4775.0,True,RETRAINED
2019-01-17,34308.6,30062.4,4246.2,True,RETRAINED
2019-01-18,32820.6,30509.2,2311.5,False,OK
2019-01-19,31170.6,30517.8,652.8,False,OK
2019-01-20,31467.1,30526.1,941.0,False,OK
2019-01-21,42529.0,30531.2,11997.7,True,RETRAINED
2019-01-22,40150.4,30559.7,9590.7,True,RETRAINED
2019-01-23,34040.8,30249.1,3791.7,True,RETRAINED
2019-01-24,29795.1,29561.2,234.0,False,OK
2019-01-25,32865.8,29577.4,3288.4,True,RETRAINED
2019-01-26,33112.4,30250.4,2862.0,False,OK
2019-01-27,31397.3,30229.4,1167.9,False,OK
2019-01-28,33806.7,30216.9,3589.8,True,RETRAINED
2019-01-29,35252.1,32243.3,3008.8,True,RETRAINED
2019-01-30,38319.5,34091.2,4228.3,True,RETRAINED
2019-01-31,42385.7,36841.2,5544.4,True,RETRAINED
2019-02-01,40744.3,33361.9,7382.4,True,RETRAINED
2019-02-02,35863.0,32962.5,2900.4,False,OK
2019-02-03,30858.1,30703.3,154.7,False,OK
2019-02-04,30142.2,29637.7,504.6,False,OK
